Close,Open,Time,TradedVolume,askClose,bidClose,ema
0.0,0.0,2018-03-11  23:00:00,194,1.23096,1.2309,1.23093
0.0,0.0,2018-03-11  23:01:00,53,1.23097,1.23091,1.23093
0.0,0.0,2018-03-11  23:02:00,125,1.23109,1.23103,1.23093
0.0,0.0,2018-03-11  23:03:00,141,1.23133,1.23118,1.23093
0.0,0.0,2018-03-11  23:04:00,69,1.23133,1.23118,1.23093
0.0,0.0,2018-03-11  23:05:00,131,1.23111,1.23096,1.23093
0.0,0.0,2018-03-11  23:06:00,123,1.23113,1.23098,1.23093
0.0,0.0,2018-03-11  23:07:00,94,1.23109,1.23103,1.23093
0.0,0.0,2018-03-11  23:08:00,65,1.23114,1.23108,1.23093
0.0,0.0,2018-03-11  23:09:00,177,1.23133,1.23127,1.23093
0.0,0.0,2018-03-11  23:10:00,41,1.23133,1.23127,1.23093
0.0,0.0,2018-03-11  23:11:00,69,1.2313,1.23124,1.23093
0.0,0.0,2018-03-11  23:12:00,146,1.23114,1.23108,1.23093
0.0,0.0,2018-03-11  23:13:00,103,1.23114,1.23108,1.23093
0.0,0.0,2018-03-11  23:14:00,179,1.23116,1.23101,1.23093
0.0,0.0,2018-03-11  23:15:00,72,1.23103,1.23097,1.23093
0.0,0.0,2018-03-11  23:16:00,85,1.23114,1.23099,1.23093
0.0,0.0,2018-03-11  23:17:00,130,1.23101,1.23086,1.23093
0.0,0.0,2018-03-11  23:18:00,264,1.23087,1.23072,1.23093
0.0,0.0,2018-03-11  23:19:00,108,1.23083,1.23077,1.23093
0.0,0.0,2018-03-11  23:20:00,169,1.23083,1.23068,1.23093
0.0,0.0,2018-03-11  23:21:00,82,1.23084,1.23069,1.23093
0.0,0.0,2018-03-11  23:22:00,168,1.23075,1.2306,1.23093
0.0,0.0,2018-03-11  23:23:00,44,1.23077,1.23062,1.23093
0.0,0.0,2018-03-11  23:24:00,66,1.23078,1.23063,1.23093
0.0,0.0,2018-03-11  23:25:00,82,1.23079,1.23064,1.23093
0.0,0.0,2018-03-11  23:26:00,77,1.23075,1.2306,1.23093
0.0,0.0,2018-03-11  23:27:00,156,1.23079,1.23073,1.23093
0.0,0.0,2018-03-11  23:28:00,65,1.2308,1.23074,1.23093
0.0,0.0,2018-03-11  23:29:00,88,1.23076,1.23061,1.23093
0.0,0.0,2018-03-11  23:30:00,156,1.23077,1.23062,1.23093
0.0,0.0,2018-03-11  23:31:00,73,1.23078,1.23063,1.23093
0.0,0.0,2018-03-11  23:32:00,72,1.23076,1.23061,1.23093
0.0,0.0,2018-03-11  23:33:00,109,1.23077,1.23062,1.23093
0.0,0.0,2018-03-11  23:34:00,17,1.23078,1.23063,1.23093
0.0,0.0,2018-03-11  23:35:00,80,1.23086,1.23071,1.23093
0.0,0.0,2018-03-11  23:36:00,110,1.23095,1.2308,1.23093
0.0,0.0,2018-03-11  23:37:00,130,1.23084,1.23069,1.23093
0.0,0.0,2018-03-11  23:38:00,73,1.23084,1.23069,1.23093
0.0,0.0,2018-03-11  23:39:00,78,1.23084,1.23069,1.23093
0.0,0.0,2018-03-11  23:40:00,80,1.23099,1.23084,1.23093
0.0,0.0,2018-03-11  23:41:00,79,1.23105,1.2309,1.23093
0.0,0.0,2018-03-11  23:42:00,83,1.23104,1.23089,1.23093
0.0,0.0,2018-03-11  23:43:00,68,1.23107,1.23092,1.23093
0.0,0.0,2018-03-11  23:44:00,34,1.23098,1.23092,1.23093
0.0,0.0,2018-03-11  23:45:00,79,1.23098,1.23083,1.23093
0.0,0.0,2018-03-11  23:46:00,114,1.23084,1.23078,1.23093
0.0,0.0,2018-03-11  23:47:00,148,1.23072,1.23057,1.23093
0.0,0.0,2018-03-11  23:48:00,88,1.23075,1.2306,1.23093
0.0,0.0,2018-03-11  23:49:00,35,1.23073,1.23067,1.23093
0.0,0.0,2018-03-11  23:50:00,74,1.23082,1.23076,1.23093
0.0,0.0,2018-03-11  23:51:00,149,1.23092,1.23086,1.23093
0.0,0.0,2018-03-11  23:52:00,105,1.23093,1.23087,1.23093
0.0,0.0,2018-03-11  23:53:00,133,1.23101,1.23086,1.23093
0.0,0.0,2018-03-11  23:54:00,94,1.23094,1.23088,1.23093
0.0,0.0,2018-03-11  23:55:00,163,1.23089,1.23083,1.23093
0.0,0.0,2018-03-11  23:56:00,103,1.23098,1.23083,1.23093
0.0,0.0,2018-03-11  23:57:00,178,1.23089,1.23083,1.23093
0.0,0.0,2018-03-11  23:58:00,61,1.23086,1.2308,1.23093
0.0,0.0,2018-03-11  23:59:00,108,1.23093,1.23078,1.23093
0.0,0.0,2018-03-12  00:00:00,217,1.23084,1.23078,1.23093
0.0,0.0,2018-03-12  00:01:00,199,1.23103,1.23097,1.2309
0.0,0.0,2018-03-12  00:02:00,201,1.2311,1.23104,1.2309
0.0,0.0,2018-03-12  00:03:00,211,1.23113,1.23098,1.2309
0.0,0.0,2018-03-12  00:04:00,194,1.23119,1.23104,1.2309
0.0,0.0,2018-03-12  00:05:00,267,1.23113,1.23107,1.2309
0.0,0.0,2018-03-12  00:06:00,164,1.23109,1.23103,1.2309
0.0,0.0,2018-03-12  00:07:00,152,1.23107,1.23092,1.2309
0.0,1.23089,2018-03-12  00:08:00,432,1.23095,1.23089,1.2309
0.0,0.0,2018-03-12  00:09:00,349,1.23089,1.23083,1.2309
0.0,0.0,2018-03-12  00:10:00,213,1.23087,1.23081,1.2309
0.0,0.0,2018-03-12  00:11:00,110,1.23088,1.23082,1.2309
0.0,0.0,2018-03-12  00:12:00,77,1.23089,1.23083,1.2309
0.0,0.0,2018-03-12  00:13:00,114,1.23087,1.23081,1.2309
0.0,0.0,2018-03-12  00:14:00,104,1.23088,1.23082,1.2309
0.0,0.0,2018-03-12  00:15:00,109,1.23087,1.23081,1.2309
0.0,0.0,2018-03-12  00:16:00,158,1.2308,1.23074,1.2309
1.23077,1.23077,2018-03-12  00:17:00,127,1.23092,1.23077,1.2309
0.0,0.0,2018-03-12  00:18:00,177,1.23082,1.23076,1.2309
0.0,0.0,2018-03-12  00:19:00,51,1.23083,1.23077,1.2309
0.0,0.0,2018-03-12  00:20:00,47,1.23086,1.2308,1.2309
0.0,1.23086,2018-03-12  00:21:00,397,1.23092,1.23086,1.2309
0.0,0.0,2018-03-12  00:22:00,85,1.23087,1.23072,1.2309
0.0,0.0,2018-03-12  00:23:00,294,1.23087,1.23081,1.2309
0.0,0.0,2018-03-12  00:24:00,317,1.23086,1.2308,1.2309
0.0,0.0,2018-03-12  00:25:00,110,1.23085,1.23079,1.2309
0.0,0.0,2018-03-12  00:26:00,117,1.23088,1.23082,1.2309
0.0,0.0,2018-03-12  00:27:00,159,1.23078,1.23072,1.2309
0.0,0.0,2018-03-12  00:28:00,125,1.23088,1.23082,1.2309
0.0,0.0,2018-03-12  00:29:00,120,1.23084,1.23078,1.2309
0.0,0.0,2018-03-12  00:30:00,97,1.23088,1.23082,1.2309
0.0,0.0,2018-03-12  00:31:00,151,1.23088,1.23082,1.2309
0.0,1.23086,2018-03-12  00:32:00,215,1.23092,1.23086,1.2309
0.0,0.0,2018-03-12  00:33:00,109,1.23098,1.23092,1.2309
0.0,0.0,2018-03-12  00:34:00,119,1.23097,1.23091,1.2309
0.0,0.0,2018-03-12  00:35:00,95,1.23096,1.2309,1.2309
1.23087,0.0,2018-03-12  00:36:00,89,1.23102,1.23087,1.2309
0.0,0.0,2018-03-12  00:37:00,161,1.23099,1.23093,1.2309
0.0,0.0,2018-03-12  00:38:00,114,1.23105,1.2309,1.2309
0.0,0.0,2018-03-12  00:39:00,123,1.23106,1.23091,1.2309
0.0,0.0,2018-03-12  00:40:00,115,1.23098,1.23092,1.2309
0.0,0.0,2018-03-12  00:41:00,118,1.231,1.23094,1.2309
0.0,0.0,2018-03-12  00:42:00,212,1.23109,1.23103,1.2309
0.0,0.0,2018-03-12  00:43:00,190,1.23114,1.23108,1.2309
0.0,0.0,2018-03-12  00:44:00,159,1.23112,1.23097,1.2309
0.0,0.0,2018-03-12  00:45:00,109,1.23106,1.231,1.2309
0.0,0.0,2018-03-12  00:46:00,66,1.23103,1.23097,1.2309
0.0,0.0,2018-03-12  00:47:00,162,1.23107,1.23092,1.2309
